,YEAR,COUNTY,VIOLENT,F_DRUGOFF,total_population,drug_rate,violent_rate,treated,post_2010
1973,2003,Sutter County,362,253,83672.1,302.3708022148362,432.64122688446923,0,0
1974,2004,Sutter County,392,240,85252.8,281.51568042339954,459.8089446915526,0,0
1975,2005,Sutter County,359,216,86833.5,248.75192178134017,413.4349070347274,0,0
1976,2006,Sutter County,404,172,88414.2,194.5388862874968,456.94017476830646,0,0
1977,2007,Sutter County,489,201,89994.9,223.3459896060777,543.3641239670249,0,0
1978,2008,Sutter County,426,196,91575.6,214.03081170093344,465.1894172683553,0,0
1979,2009,Sutter County,426,173,93156.3,185.70939378227774,457.2959638800596,0,0
2165,2000,Ventura County,2103,1750,753197.0,232.34293285820308,279.20982160045776,0,0
2166,2001,Ventura County,1948,1766,760209.1,232.30450674689374,256.24528830291564,0,0
2167,2002,Ventura County,2043,2344,767221.2,305.51814783011736,266.285655297325,0,0
2168,2003,Ventura County,1967,2442,774233.3,315.4088050720629,254.0577885244667,0,0
2169,2004,Ventura County,1840,2690,781245.4,344.3220273680971,235.52138674992517,0,0
2170,2005,Ventura County,1967,2656,788257.5,336.94573156614433,249.5377462314028,0,0
2171,2006,Ventura County,2129,2473,795269.6,310.9637285267789,267.7079571506317,0,0
2172,2007,Ventura County,2290,2341,802281.7,291.79277054431134,285.4359011304882,0,0
2173,2008,Ventura County,2316,2047,809293.8,252.9365726019401,286.1754285032209,0,0
2174,2009,Ventura County,2275,2040,816305.9,249.90631575736495,278.6945433078457,0,0
